Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
1995M01,"Jan. 1995",IN0001.20,"All groups",46.03,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.01,"All food",80.75,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.02,"Food",80.82,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.03,"Tropical beverages",95.57,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.04,"Vegetable oilseeds and oils",72.2,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.06,"Agricultural raw materials",103.64,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.07,"Minerals, ores and metals",45.56,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.08,"Minerals, ores and non-precious metals",61.79,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.09,"Precious metals",32.73,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.10,"Fuels",35.32,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.05,"Tropical beverages and food",84.45,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.22,"All groups excl. fuels",63.4,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.23,"All groups excl. precious metals",47.82,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M01,"Jan. 1995",IN0001.24,"All groups excl. precious metals and fuels",77.21,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M02,"Feb. 1995",IN0001.20,"All groups",46.33,,,,,"Not available or not separately reported",0.65175,,
1995M02,"Feb. 1995",IN0001.01,"All food",80.29,,,,,"Not available or not separately reported",-0.56966,,
1995M02,"Feb. 1995",IN0001.02,"Food",80.5,,,,,"Not available or not separately reported",-0.39594,,
1995M02,"Feb. 1995",IN0001.03,"Tropical beverages",95.3,,,,,"Not available or not separately reported",-0.28252,,
1995M02,"Feb. 1995",IN0001.04,"Vegetable oilseeds and oils",71.38,,,,,"Not available or not separately reported",-1.13573,,
1995M02,"Feb. 1995",IN0001.06,"Agricultural raw materials",104.55,,,,,"Not available or not separately reported",0.87804,,
1995M02,"Feb. 1995",IN0001.07,"Minerals, ores and metals",44.04,,,,,"Not available or not separately reported",-3.33626,,
1995M02,"Feb. 1995",IN0001.08,"Minerals, ores and non-precious metals",58.57,,,,,"Not available or not separately reported",-5.2112,,
1995M02,"Feb. 1995",IN0001.09,"Precious metals",32.55,,,,,"Not available or not separately reported",-0.54995,,
1995M02,"Feb. 1995",IN0001.10,"Fuels",36.36,,,,,"Not available or not separately reported",2.94451,,
1995M02,"Feb. 1995",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M02,"Feb. 1995",IN0001.05,"Tropical beverages and food",84.15,,,,,"Not available or not separately reported",-0.35524,,
1995M02,"Feb. 1995",IN0001.22,"All groups excl. fuels",62.49,,,,,"Not available or not separately reported",-1.43533,,
1995M02,"Feb. 1995",IN0001.23,"All groups excl. precious metals",48.18,,,,,"Not available or not separately reported",0.75282,,
1995M02,"Feb. 1995",IN0001.24,"All groups excl. precious metals and fuels",75.96,,,,,"Not available or not separately reported",-1.61896,,
1995M03,"Mar. 1995",IN0001.20,"All groups",46.59,,,,,"Not available or not separately reported",0.56119,,
1995M03,"Mar. 1995",IN0001.01,"All food",82.25,,,,,"Not available or not separately reported",2.44115,,
1995M03,"Mar. 1995",IN0001.02,"Food",81.57,,,,,"Not available or not separately reported",1.32919,,
1995M03,"Mar. 1995",IN0001.03,"Tropical beverages",100.22,,,,,"Not available or not separately reported",5.16264,,
1995M03,"Mar. 1995",IN0001.04,"Vegetable oilseeds and oils",73.2,,,,,"Not available or not separately reported",2.54973,,
1995M03,"Mar. 1995",IN0001.06,"Agricultural raw materials",111.2,,,,,"Not available or not separately reported",6.36059,,
1995M03,"Mar. 1995",IN0001.07,"Minerals, ores and metals",43.68,,,,,"Not available or not separately reported",-0.81744,,
1995M03,"Mar. 1995",IN0001.08,"Minerals, ores and non-precious metals",57.25,,,,,"Not available or not separately reported",-2.25371,,
1995M03,"Mar. 1995",IN0001.09,"Precious metals",32.96,,,,,"Not available or not separately reported",1.2596,,
1995M03,"Mar. 1995",IN0001.10,"Fuels",36.09,,,,,"Not available or not separately reported",-0.74257,,
1995M03,"Mar. 1995",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M03,"Mar. 1995",IN0001.05,"Tropical beverages and food",86.16,,,,,"Not available or not separately reported",2.38859,,
1995M03,"Mar. 1995",IN0001.22,"All groups excl. fuels",63.61,,,,,"Not available or not separately reported",1.79229,,
1995M03,"Mar. 1995",IN0001.23,"All groups excl. precious metals",48.42,,,,,"Not available or not separately reported",0.49813,,
1995M03,"Mar. 1995",IN0001.24,"All groups excl. precious metals and fuels",77.41,,,,,"Not available or not separately reported",1.9089,,
1995M04,"Apr. 1995",IN0001.20,"All groups",47.77,,,,,"Not available or not separately reported",2.53273,,
1995M04,"Apr. 1995",IN0001.01,"All food",80.28,,,,,"Not available or not separately reported",-2.39514,,
1995M04,"Apr. 1995",IN0001.02,"Food",79.71,,,,,"Not available or not separately reported",-2.28025,,
1995M04,"Apr. 1995",IN0001.03,"Tropical beverages",98.12,,,,,"Not available or not separately reported",-2.09539,,
