Year,FlagOfRegistration,FlagOfRegistration Label,BeneficialOwnership,BeneficialOwnership Label,Dead weight tons in thousands,Dead weight tons in thousands Footnote,Dead weight tons in thousands Missing value,Percentage of total fleet,Percentage of total fleet Footnote,Percentage of total fleet Missing value,Number of ships,Number of ships Footnote,Number of ships Missing value
2014,028,"Antigua and Barbuda",0001,"Individual economies",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2014,028,"Antigua and Barbuda",008,"Albania",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",012,"Algeria",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",024,"Angola",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",660,"Anguilla",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",028,"Antigua and Barbuda",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",032,"Argentina",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",533,"Aruba",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",036,"Australia",12.68,,,0.09796,,,1,,
2014,028,"Antigua and Barbuda",040,"Austria",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",031,"Azerbaijan",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",044,"Bahamas",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",048,"Bahrain",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",050,"Bangladesh",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",052,"Barbados",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",056,"Belgium",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",084,"Belize",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",060,"Bermuda",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",068,"Bolivia (Plurinational State of)",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",076,"Brazil",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",092,"British Virgin Islands",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",096,"Brunei Darussalam",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",100,"Bulgaria",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",132,"Cabo Verde",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",116,"Cambodia",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",120,"Cameroon",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",124,"Canada",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",136,"Cayman Islands",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",152,"Chile",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",156,"China",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",344,"China, Hong Kong SAR",79.569,,,0.61472,,,8,,
2014,028,"Antigua and Barbuda",446,"China, Macao SAR",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",158,"China, Taiwan Province of",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",170,"Colombia",3.6,,,0.02781,,,1,,
2014,028,"Antigua and Barbuda",178,"Congo",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",180,"Congo, Dem. Rep. of the",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",184,"Cook Islands",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",188,"Costa Rica",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",384,"Côte d'Ivoire",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",191,"Croatia",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",192,"Cuba",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",531,"Curaçao",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",196,"Cyprus",16.278,,,0.12576,,,2,,
2014,028,"Antigua and Barbuda",208,"Denmark",35.395,,,0.27345,,,4,,
2014,028,"Antigua and Barbuda",262,"Djibouti",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",212,"Dominica",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",214,"Dominican Republic",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",218,"Ecuador",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",818,"Egypt",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",226,"Equatorial Guinea",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",232,"Eritrea",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",233,"Estonia",27.789,,,0.21469,,,7,,
2014,028,"Antigua and Barbuda",231,"Ethiopia",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",234,"Faroe Islands",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",242,"Fiji",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",246,"Finland",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",251,"France",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",250,"France, metropolitan",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",492,"Monaco",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",258,"French Polynesia",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",266,"Gabon",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",270,"Gambia",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",268,"Georgia",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",276,"Germany",12232.144,,,94.50155,,,1056,,
2014,028,"Antigua and Barbuda",288,"Ghana",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",292,"Gibraltar",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",300,"Greece",7.496,,,0.05791,,,2,,
2014,028,"Antigua and Barbuda",304,"Greenland",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",308,"Grenada",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",316,"Guam",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",320,"Guatemala",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",324,"Guinea",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",328,"Guyana",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",332,"Haiti",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",340,"Honduras",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",352,"Iceland",58.934,,,0.4553,,,7,,
2014,028,"Antigua and Barbuda",356,"India",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",360,"Indonesia",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",364,"Iran (Islamic Republic of)",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",368,"Iraq",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",372,"Ireland",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",376,"Israel",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",380,"Italy",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",388,"Jamaica",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",392,"Japan",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",400,"Jordan",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",398,"Kazakhstan",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",404,"Kenya",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",296,"Kiribati",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",408,"Korea, Dem. People's Rep. of",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",410,"Korea, Republic of",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",414,"Kuwait",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",418,"Lao People's Dem. Rep.",0,,,0,,,0,,
2014,028,"Antigua and Barbuda",428,"Latvia",36.465,,,0.28172,,,10,,
