Year,Economy,Economy Label,CargoType,CargoType Label,Metric tons in millions,Metric tons in millions Footnote,Metric tons in millions Missing value
1970,0000,World,11,Crude oil loaded,1207,,
1970,0000,World,12,Other tanker trade loaded,233,,
1970,0000,World,13,Dry cargo loaded,1165,,
1970,0000,World,10,Total goods loaded,2605,,
1970,0000,World,21,Crude oil discharged,1101,,
1970,0000,World,22,Other tanker trade discharged,298,,
1970,0000,World,23,Dry cargo discharged,1131,,
1970,0000,World,20,Total goods discharged,2529,,
1971,0000,World,11,Crude oil loaded,1210,,
1971,0000,World,12,Other tanker trade loaded,320,,
1971,0000,World,13,Dry cargo loaded,1162,,
1971,0000,World,10,Total goods loaded,2692,,
1971,0000,World,21,Crude oil discharged,1199,,
1971,0000,World,22,Other tanker trade discharged,300,,
1971,0000,World,23,Dry cargo discharged,1134,,
1971,0000,World,20,Total goods discharged,2632,,
1972,0000,World,11,Crude oil loaded,1321,,
1972,0000,World,12,Other tanker trade loaded,332,,
1972,0000,World,13,Dry cargo loaded,1221,,
1972,0000,World,10,Total goods loaded,2874,,
1972,0000,World,21,Crude oil discharged,1325,,
1972,0000,World,22,Other tanker trade discharged,316,,
1972,0000,World,23,Dry cargo discharged,1217,,
1972,0000,World,20,Total goods discharged,2858,,
1973,0000,World,11,Crude oil loaded,1514,,
1973,0000,World,12,Other tanker trade loaded,353,,
1973,0000,World,13,Dry cargo loaded,1407,,
1973,0000,World,10,Total goods loaded,3274,,
1973,0000,World,21,Crude oil discharged,1521,,
1973,0000,World,22,Other tanker trade discharged,339,,
1973,0000,World,23,Dry cargo discharged,1377,,
1973,0000,World,20,Total goods discharged,3237,,
1974,0000,World,11,Crude oil loaded,1497,,
1974,0000,World,12,Other tanker trade loaded,335,,
1974,0000,World,13,Dry cargo loaded,1472,,
1974,0000,World,10,Total goods loaded,3304,,
1974,0000,World,21,Crude oil discharged,1470,,
1974,0000,World,22,Other tanker trade discharged,312,,
1974,0000,World,23,Dry cargo discharged,1472,,
1974,0000,World,20,Total goods discharged,3254,,
1975,0000,World,11,Crude oil loaded,1364,,
1975,0000,World,12,Other tanker trade loaded,280,,
1975,0000,World,13,Dry cargo loaded,1428,,
1975,0000,World,10,Total goods loaded,3072,,
1975,0000,World,21,Crude oil discharged,1373,,
1975,0000,World,22,Other tanker trade discharged,287,,
1975,0000,World,23,Dry cargo discharged,1395,,
1975,0000,World,20,Total goods discharged,3055,,
1976,0000,World,11,Crude oil loaded,1555,,
1976,0000,World,12,Other tanker trade loaded,289,,
1976,0000,World,13,Dry cargo loaded,1522,,
1976,0000,World,10,Total goods loaded,3366,,
1976,0000,World,21,Crude oil discharged,1522,,
1976,0000,World,22,Other tanker trade discharged,312,,
1976,0000,World,23,Dry cargo discharged,1518,,
1976,0000,World,20,Total goods discharged,3352,,
1977,0000,World,11,Crude oil loaded,1599,,
1977,0000,World,12,Other tanker trade loaded,293,,
1977,0000,World,13,Dry cargo loaded,1576,,
1977,0000,World,10,Total goods loaded,3468,,
1977,0000,World,21,Crude oil discharged,1585,,
1977,0000,World,22,Other tanker trade discharged,321,,
1977,0000,World,23,Dry cargo discharged,1536,,
1977,0000,World,20,Total goods discharged,3442,,
1978,0000,World,11,Crude oil loaded,1604,,
1978,0000,World,12,Other tanker trade loaded,296,,
1978,0000,World,13,Dry cargo loaded,1650,,
1978,0000,World,10,Total goods loaded,3550,,
1978,0000,World,21,Crude oil discharged,1634,,
1978,0000,World,22,Other tanker trade discharged,321,,
1978,0000,World,23,Dry cargo discharged,1570,,
1978,0000,World,20,Total goods discharged,3525,,
1979,0000,World,11,Crude oil loaded,1725,,
1979,0000,World,12,Other tanker trade loaded,318,,
1979,0000,World,13,Dry cargo loaded,1785,,
1979,0000,World,10,Total goods loaded,3828,,
1979,0000,World,21,Crude oil discharged,1724,,
1979,0000,World,22,Other tanker trade discharged,308,,
1979,0000,World,23,Dry cargo discharged,1782,,
1979,0000,World,20,Total goods discharged,3814,,
1980,0000,World,11,Crude oil loaded,1527,,
1980,0000,World,12,Other tanker trade loaded,344,,
1980,0000,World,13,Dry cargo loaded,1833,,
1980,0000,World,10,Total goods loaded,3704,,
1980,0000,World,21,Crude oil discharged,1530,,
1980,0000,World,22,Other tanker trade discharged,326,,
1980,0000,World,23,Dry cargo discharged,1823,,
1980,0000,World,20,Total goods discharged,3679,,
1981,0000,World,11,Crude oil loaded,1364,,
1981,0000,World,12,Other tanker trade loaded,327,,
1981,0000,World,13,Dry cargo loaded,1864,,
1981,0000,World,10,Total goods loaded,3555,,
1981,0000,World,21,Crude oil discharged,1363,,
1981,0000,World,22,Other tanker trade discharged,310,,
1981,0000,World,23,Dry cargo discharged,1838,,
1981,0000,World,20,Total goods discharged,3512,,
1982,0000,World,11,Crude oil loaded,1163,,
1982,0000,World,12,Other tanker trade loaded,350,,
1982,0000,World,13,Dry cargo loaded,1760,,
1982,0000,World,10,Total goods loaded,3273,,
1982,0000,World,21,Crude oil discharged,1283,,
1982,0000,World,22,Other tanker trade discharged,330,,
1982,0000,World,23,Dry cargo discharged,1780,,
1982,0000,World,20,Total goods discharged,3393,,
1983,0000,World,11,Crude oil loaded,1069,,
1983,0000,World,12,Other tanker trade loaded,392,,
1983,0000,World,13,Dry cargo loaded,1770,,
1983,0000,World,10,Total goods loaded,3231,,
1983,0000,World,21,Crude oil discharged,1133,,
1983,0000,World,22,Other tanker trade discharged,349,,
1983,0000,World,23,Dry cargo discharged,1830,,
1983,0000,World,20,Total goods discharged,3312,,
1984,0000,World,11,Crude oil loaded,1079,,
1984,0000,World,12,Other tanker trade loaded,399,,
1984,0000,World,13,Dry cargo loaded,1886,,
1984,0000,World,10,Total goods loaded,3364,,
1984,0000,World,21,Crude oil discharged,1166,,
1984,0000,World,22,Other tanker trade discharged,371,,
1984,0000,World,23,Dry cargo discharged,1928,,
1984,0000,World,20,Total goods discharged,3465,,
1985,0000,World,11,Crude oil loaded,1049,,
1985,0000,World,12,Other tanker trade loaded,410,,
1985,0000,World,13,Dry cargo loaded,1895,,
1985,0000,World,10,Total goods loaded,3330,,
1985,0000,World,21,Crude oil discharged,1128,,
1985,0000,World,22,Other tanker trade discharged,367,,
1985,0000,World,23,Dry cargo discharged,1938,,
1985,0000,World,20,Total goods discharged,3433,,
1986,0000,World,11,Crude oil loaded,1126,,
1986,0000,World,12,Other tanker trade loaded,424,,
1986,0000,World,13,Dry cargo loaded,1835,,
1986,0000,World,10,Total goods loaded,3385,,
1986,0000,World,21,Crude oil discharged,1220,,
1986,0000,World,22,Other tanker trade discharged,390,,
1986,0000,World,23,Dry cargo discharged,1860,,
1986,0000,World,20,Total goods discharged,3470,,
1987,0000,World,11,Crude oil loaded,1107,,
1987,0000,World,12,Other tanker trade loaded,441,,
1987,0000,World,13,Dry cargo loaded,1987,,
1987,0000,World,10,Total goods loaded,3505,,
1987,0000,World,21,Crude oil discharged,1110,,
1987,0000,World,22,Other tanker trade discharged,408,,
1987,0000,World,23,Dry cargo discharged,2120,,
1987,0000,World,20,Total goods discharged,3628,,
1988,0000,World,11,Crude oil loaded,1160,,
1988,0000,World,12,Other tanker trade loaded,456,,
1988,0000,World,13,Dry cargo loaded,2119,,
1988,0000,World,10,Total goods loaded,3735,,
1988,0000,World,21,Crude oil discharged,1194,,
1988,0000,World,22,Other tanker trade discharged,422,,
1988,0000,World,23,Dry cargo discharged,2248,,
1988,0000,World,20,Total goods discharged,3866,,
1989,0000,World,11,Crude oil loaded,1260,,
1989,0000,World,12,Other tanker trade loaded,468,,
1989,0000,World,13,Dry cargo loaded,2212,,
1989,0000,World,10,Total goods loaded,3940,,
1989,0000,World,21,Crude oil discharged,1300,,
1989,0000,World,22,Other tanker trade discharged,433,,
1989,0000,World,23,Dry cargo discharged,2337,,
1989,0000,World,20,Total goods discharged,4070,,
1990,0000,World,11,Crude oil loaded,1287,,
1990,0000,World,12,Other tanker trade loaded,468,,
1990,0000,World,13,Dry cargo loaded,2253,,
1990,0000,World,10,Total goods loaded,4008,,
1990,0000,World,21,Crude oil discharged,1315,,
1990,0000,World,22,Other tanker trade discharged,466,,
1990,0000,World,23,Dry cargo discharged,2365,,
1990,0000,World,20,Total goods discharged,4126,,
1991,0000,World,11,Crude oil loaded,1333,,
1991,0000,World,12,Other tanker trade loaded,457,,
1991,0000,World,13,Dry cargo loaded,2330,,
1991,0000,World,10,Total goods loaded,4120,,
1991,0000,World,21,Crude oil discharged,1355,,
1991,0000,World,22,Other tanker trade discharged,441,,
1991,0000,World,23,Dry cargo discharged,2449,,
1991,0000,World,20,Total goods discharged,4245,,
1992,0000,World,11,Crude oil loaded,1394,,
1992,0000,World,12,Other tanker trade loaded,466,,
1992,0000,World,13,Dry cargo loaded,2360,,
1992,0000,World,10,Total goods loaded,4220,,
1992,0000,World,21,Crude oil discharged,1414,,
1992,0000,World,22,Other tanker trade discharged,451,,
1992,0000,World,23,Dry cargo discharged,2480,,
1992,0000,World,20,Total goods discharged,4345,,
1993,0000,World,11,Crude oil loaded,1443,,
1993,0000,World,12,Other tanker trade loaded,502,,
1993,0000,World,13,Dry cargo loaded,2385,,
1993,0000,World,10,Total goods loaded,4330,,
1993,0000,World,21,Crude oil discharged,1465,,
1993,0000,World,22,Other tanker trade discharged,480,,
1993,0000,World,23,Dry cargo discharged,2477,,
1993,0000,World,20,Total goods discharged,4422,,
1994,0000,World,11,Crude oil loaded,1498,,
1994,0000,World,12,Other tanker trade loaded,509,,
1994,0000,World,13,Dry cargo loaded,2478,,
