country,Year,Production_Volume
China,1981,13.01
China,1982,13.95
China,1983,14.96
China,1984,16.52
China,1985,18.26
China,1986,18.71
China,1987,19.43
China,1988,20.51
China,1989,22.07
China,1990,22.61
China,1991,22.76
China,1992,23.37
China,1993,24.09
China,1994,25.96
China,1995,28.49
China,1996,29.24
China,1997,29.05
China,1998,27.88
China,1999,28.55
China,2000,29.61
China,2001,31.37
China,2002,33.51
China,2003,39.58
China,2004,46.35
China,2005,51.99
China,2006,55.62
China,2007,60.26
China,2008,62.46
China,2009,64.39
China,2010,69.72
China,2011,77.53
China,2012,78.44
China,2013,79.32
China,2014,78.05
China,2015,76.59
China,2016,70.82
China,2017,73.17
China,2018,76.87
China,2019,79.76
China,2020,80.51
China,2021,83.44
China,2022,92.22
India,1981,2.67
India,1982,2.64
India,1983,2.8
India,1984,2.93
India,1985,3.03
India,1986,3.26
India,1987,3.57
India,1988,3.8
India,1989,4.13
India,1990,4.45
India,1991,4.76
India,1992,5.02
India,1993,5.19
India,1994,5.28
India,1995,5.57
India,1996,5.97
India,1997,6.17
India,1998,6.13
India,1999,6
India,2000,6.38
India,2001,6.46
India,2002,6.74
India,2003,7.04
India,2004,7.6
India,2005,7.95
India,2006,8.29
India,2007,8.81
India,2008,9.53
India,2009,10.29
India,2010,10.57
India,2011,10.49
India,2012,10.68
India,2013,10.71
India,2014,11.28
India,2015,11.77
India,2016,11.89
India,2017,11.99
India,2018,12.8
India,2019,12.6
India,2020,12.59
India,2021,13.38
India,2022,15.02
Indonesia,1981,0.01
Indonesia,1982,0.01
Indonesia,1983,0.02
Indonesia,1984,0.04
Indonesia,1985,0.05
Indonesia,1986,0.06
Indonesia,1987,0.07
Indonesia,1988,0.11
Indonesia,1989,0.21
Indonesia,1990,0.26
Indonesia,1991,0.34
Indonesia,1992,0.55
Indonesia,1993,0.68
Indonesia,1994,0.81
Indonesia,1995,1.03
Indonesia,1996,1.24
Indonesia,1997,1.35
Indonesia,1998,1.54
Indonesia,1999,1.82
Indonesia,2000,1.9
Indonesia,2001,2.28
Indonesia,2002,2.55
Indonesia,2003,2.82
Indonesia,2004,3.27
Indonesia,2005,3.77
Indonesia,2006,4.71
Indonesia,2007,5.3
Indonesia,2008,5.92
Indonesia,2009,6.2
Indonesia,2010,6.33
Indonesia,2011,7.93
Indonesia,2012,8.56
Indonesia,2013,10.44
Indonesia,2014,10.15
Indonesia,2015,10.19
Indonesia,2016,9.87
Indonesia,2017,9.69
Indonesia,2018,11.44
Indonesia,2019,12.84
Indonesia,2020,11.78
Indonesia,2021,12.68
Indonesia,2022,13.95
US,1981,18.42
US,1982,18.68
US,1983,17.29
US,1984,19.76
US,1985,19.37
US,1986,19.55
US,1987,20.19
US,1988,20.79
US,1989,21.41
US,1990,22.54
US,1991,21.69
US,1992,21.74
US,1993,20.38
US,1994,22.25
US,1995,22.18
US,1996,22.84
US,1997,23.36
US,1998,24.1
US,1999,23.35
US,2000,22.79
US,2001,23.6
US,2002,22.78
US,2003,22.14
US,2004,22.9
US,2005,23.24
US,2006,23.84
US,2007,23.55
US,2008,23.91
US,2009,21.67
US,2010,22.09
US,2011,22.27
US,2012,20.72
US,2013,20.05
US,2014,20.33
