,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,13.01,13.95,14.96,16.52,18.26,18.71,19.43,20.51,22.07,22.61,22.76,23.37,24.09,25.96,28.49,29.24,29.05,27.88,28.55,29.61,31.37,33.51,39.58,46.35,51.99,55.62,60.26,62.46,64.39,69.72,77.53,78.44,79.32,78.05,76.59,70.82,73.17,76.87,79.76,80.51,83.44,92.22
India,2.67,2.64,2.80,2.93,3.03,3.26,3.57,3.80,4.13,4.45,4.76,5.02,5.19,5.28,5.57,5.97,6.17,6.13,6.00,6.38,6.46,6.74,7.04,7.60,7.95,8.29,8.81,9.53,10.29,10.57,10.49,10.68,10.71,11.28,11.77,11.89,11.99,12.80,12.60,12.59,13.38,15.02
Indonesia,0.01,0.01,0.02,0.04,0.05,0.06,0.07,0.11,0.21,0.26,0.34,0.55,0.68,0.81,1.03,1.24,1.35,1.54,1.82,1.90,2.28,2.55,2.82,3.27,3.77,4.71,5.30,5.92,6.20,6.33,7.93,8.56,10.44,10.15,10.19,9.87,9.69,11.44,12.84,11.78,12.68,13.95
US,18.42,18.68,17.29,19.76,19.37,19.55,20.19,20.79,21.41,22.54,21.69,21.74,20.38,22.25,22.18,22.84,23.36,24.10,23.35,22.79,23.60,22.78,22.14,22.90,23.24,23.84,23.55,23.91,21.67,22.09,22.27,20.72,20.05,20.33,17.99,14.70,15.66,15.40,14.29,10.73,11.62,12.07
Australia,2.84,2.90,3.02,3.17,3.87,4.11,4.30,4.22,4.59,4.80,4.98,5.32,5.34,5.46,5.73,5.91,6.44,6.60,6.95,7.19,7.77,8.01,8.28,8.60,9.00,9.20,9.51,9.79,10.16,10.49,10.26,11.13,11.97,12.81,12.80,12.83,12.50,13.10,13.18,12.14,11.89,11.46
Russian Federation,-,-,-,-,7.78,8.05,8.11,8.37,8.05,7.77,7.14,6.85,6.18,5.50,5.22,5.06,4.86,4.56,4.93,5.09,5.38,5.13,5.55,5.74,5.68,5.90,6.01,6.24,5.93,6.32,6.60,7.05,7.25,7.39,7.80,8.12,8.62,9.23,9.23,8.42,9.25,9.35
South Africa,3.13,3.47,3.50,3.92,4.18,4.26,4.25,4.36,4.23,4.19,4.28,4.38,4.48,4.65,4.90,4.90,5.22,5.28,5.29,5.30,5.29,5.21,5.64,5.74,5.79,5.79,5.79,5.90,5.85,6.03,6.00,6.14,6.08,6.20,5.96,6.01,5.97,6.01,6.02,5.83,5.44,5.35
Kazakhstan,-,-,-,-,2.40,2.52,2.60,2.61,2.52,2.39,2.37,2.29,2.02,1.89,1.50,1.39,1.32,1.27,1.06,1.36,1.43,1.33,1.53,1.57,1.56,1.73,1.77,2.01,1.82,1.99,2.08,2.16,2.15,2.09,1.65,1.53,1.67,1.76,1.70,1.75,1.78,1.81
Poland,4.31,5.03,5.12,5.13,5.17,5.26,5.32,5.31,4.91,4.19,4.01,3.90,3.77,3.77,3.86,3.83,3.89,3.36,3.25,3.01,3.02,3.00,2.99,2.90,2.90,2.85,2.62,2.55,2.36,2.32,2.33,2.42,2.39,2.26,2.22,2.18,2.08,1.98,1.87,1.68,1.76,1.70
Colombia,0.12,0.13,0.15,0.19,0.26,0.31,0.42,0.44,0.55,0.59,0.58,0.63,0.63,0.65,0.74,0.85,0.95,0.97,0.95,1.10,1.27,1.14,1.45,1.56,1.72,1.90,2.01,2.11,2.09,2.14,2.47,2.58,2.47,2.57,2.49,2.62,2.63,2.48,2.46,1.54,1.70,1.65
Germany,6.23,6.26,5.91,5.99,6.22,6.01,5.82,5.77,5.51,5.24,4.44,4.09,3.68,3.39,3.31,3.10,2.97,2.72,2.65,2.54,2.44,2.45,2.42,2.45,2.37,2.23,2.28,2.10,1.94,1.92,1.96,2.00,1.89,1.85,1.79,1.66,1.65,1.58,1.19,0.98,1.15,1.21
Other Asia Pacific,1.17,1.23,1.25,1.28,1.32,1.31,1.28,1.25,1.23,1.16,1.13,0.98,0.91,0.84,0.79,0.70,0.69,0.63,0.71,0.76,0.78,0.75,0.78,0.84,0.93,0.94,0.87,0.93,0.81,0.87,0.93,0.96,0.98,0.99,1.06,1.33,1.14,1.06,0.71,1.12,1.15,1.20
Canada,0.97,1.03,1.07,1.40,1.49,1.38,1.39,1.61,1.72,1.67,1.75,1.55,1.65,1.74,1.80,1.83,1.90,1.80,1.73,1.64,1.67,1.43,1.33,1.42,1.48,1.46,1.49,1.49,1.39,1.48,1.48,1.49,1.53,1.51,1.36,1.37,1.33,1.22,1.20,1.15,1.21,1.18
Vietnam,0.14,0.15,0.15,0.12,0.13,0.14,0.15,0.14,0.12,0.12,0.12,0.12,0.15,0.14,0.20,0.23,0.27,0.27,0.23,0.27,0.31,0.38,0.45,0.64,0.80,0.91,1.00,0.93,1.03,1.05,1.09,0.99,0.96,0.96,0.98,0.91,0.90,0.99,1.09,1.05,1.13,1.17
Turkey,0.29,0.31,0.33,0.37,0.45,0.48,0.51,0.46,0.53,0.49,0.46,0.51,0.48,0.51,0.51,0.51,0.55,0.58,0.56,0.52,0.51,0.48,0.45,0.44,0.47,0.55,0.62,0.70,0.73,0.73,0.75,0.71,0.65,0.68,0.54,0.65,0.63,0.69,0.73,0.66,0.75,0.83
Mongolia,0.08,0.09,0.09,0.10,0.12,0.13,0.15,0.16,0.15,0.14,0.13,0.12,0.11,0.10,0.10,0.10,0.09,0.10,0.09,0.10,0.10,0.11,0.11,0.13,0.14,0.15,0.18,0.19,0.28,0.48,0.63,0.59,0.64,0.47,0.46,0.67,0.94,1.04,1.09,0.82,0.62,0.75
Other Africa,0.06,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.04,0.05,0.18,0.21,0.24,0.25,0.24,0.41,0.52,0.38,0.31,0.40,0.55
Czech Republic,1.79,1.81,1.83,1.86,1.84,1.84,1.82,1.78,1.71,1.52,1.42,1.32,1.29,1.18,1.14,1.15,1.17,1.09,0.97,1.05,1.06,1.02,1.02,0.98,0.99,1.00,1.00,0.95,0.87,0.87,0.88,0.85,0.74,0.71,0.71,0.67,0.64,0.62,0.56,0.43,0.44,0.48
Other Europe,1.43,1.51,1.53,1.56,1.85,1.87,1.74,1.59,1.63,1.63,1.44,1.35,1.19,1.08,1.09,1.06,1.11,1.00,0.94,0.92,0.93,0.96,1.03,0.93,0.92,1.01,0.65,0.64,0.63,0.69,0.67,0.60,0.66,0.64,0.59,0.59,0.60,0.78,0.52,0.46,0.44,0.45
Ukraine,-,-,-,-,3.90,4.00,3.95,3.93,3.69,3.63,3.09,2.93,2.50,2.06,1.79,1.35,1.41,1.44,1.52,1.52,1.51,1.50,1.46,1.45,1.45,1.48,1.46,1.45,1.35,1.35,1.52,1.64,1.60,1.09,0.72,0.76,0.57,0.61,0.60,0.53,0.54,0.36
Bulgaria,0.20,0.22,0.22,0.22,0.21,0.24,0.25,0.23,0.23,0.21,0.20,0.23,0.22,0.21,0.22,0.23,0.21,0.21,0.18,0.18,0.19,0.19,0.19,0.19,0.17,0.18,0.20,0.20,0.19,0.21,0.26,0.23,0.20,0.21,0.25,0.21,0.24,0.22,0.20,0.16,0.20,0.25
Pakistan,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.07,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.08,0.13,0.18,0.19,0.19
Thailand,0.02,0.02,0.02,0.03,0.06,0.06,0.08,0.09,0.11,0.15,0.17,0.19,0.19,0.22,0.23,0.27,0.29,0.25,0.24,0.22,0.24,0.24,0.22,0.23,0.25,0.22,0.21,0.20,0.20,0.21,0.25,0.20,0.20,0.19,0.16,0.18,0.17,0.16,0.15,0.14,0.15,0.14
Mexico,0.07,0.09,0.11,0.12,0.12,0.13,0.15,0.13,0.14,0.14,0.13,0.12,0.13,0.17,0.17,0.19,0.19,0.20,0.20,0.23,0.17,0.14,0.18,0.25,0.25,0.28,0.31,0.29,0.25,0.31,0.39,0.31,0.30,0.30,0.29,0.25,0.31,0.28,0.23,0.19,0.14,0.14
Other CIS,-,-,-,-,0.12,0.12,0.11,0.12,0.12,0.10,0.10,0.08,0.06,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.09,0.12,0.12,0.11,0.11,0.14
Romania,0.39,0.40,0.47,0.46,0.47,0.49,0.53,0.58,0.59,0.35,0.29,0.31,0.32,0.33,0.33,0.34,0.28,0.22,0.19,0.23,0.24,0.26,0.27,0.26,0.24,0.27,0.29,0.29,0.27,0.25,0.28,0.27,0.19,0.19,0.20,0.18,0.19,0.17,0.16,0.11,0.13,0.13
Brazil,0.12,0.13,0.14,0.16,0.16,0.16,0.14,0.15,0.14,0.07,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.11,0.10,0.11,0.10,0.11,0.12,0.12,0.12,0.14,0.13,0.11,0.11,0.12,0.15,0.15,0.12,0.11,0.09,0.10,0.09,0.10,0.12,0.11
Zimbabwe,0.08,0.07,0.09,0.08,0.08,0.11,0.13,0.14,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.12,0.12,0.11,0.08,0.10,0.09,0.06,0.06,0.04,0.05,0.07,0.07,0.04,0.08,0.16,0.12,0.07,0.08,0.09,0.07,0.07,0.09,0.11
Greece,0.15,0.15,0.17,0.18,0.20,0.21,0.25,0.26,0.30,0.30,0.29,0.29,0.30,0.31,0.31,0.30,0.32,0.34,0.34,0.34,0.35,0.36,0.34,0.36,0.36,0.34,0.35,0.34,0.34,0.31,0.31,0.34,0.28,0.27,0.24,0.17,0.19,0.18,0.13,0.07,0.06,0.07
New Zealand,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.07,0.06,0.07,0.07,0.08,0.08,0.10,0.10,0.09,0.08,0.09,0.09,0.10,0.12,0.14,0.14,0.14,0.15,0.12,0.13,0.12,0.14,0.13,0.13,0.12,0.10,0.09,0.07,0.07,0.08,0.07,0.07,0.07,0.07
Uzbekistan,-,-,-,-,0.06,0.07,0.06,0.06,0.07,0.08,0.07,0.06,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06
Hungary,0.30,0.30,0.29,0.28,0.27,0.26,0.26,0.24,0.23,0.21,0.20,0.18,0.16,0.15,0.15,0.16,0.17,0.15,0.14,0.14,0.13,0.12,0.13,0.10,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03
United Kingdom,3.27,3.18,3.04,1.29,2.37,2.75,2.65,2.65,2.55,2.36,2.41,2.16,1.74,1.24,1.37,1.30,1.27,1.08,0.97,0.82,0.84,0.79,0.74,0.62,0.51,0.45,0.43,0.45,0.44,0.45,0.46,0.42,0.32,0.29,0.21,0.11,0.08,0.08,0.07,0.05,0.03,0.02
Japan,0.41,0.41,0.40,0.39,0.38,0.38,0.31,0.26,0.24,0.19,0.19,0.18,0.17,0.16,0.15,0.15,0.10,0.09,0.09,0.07,0.07,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
South Korea,0.37,0.37,0.37,0.39,0.42,0.45,0.45,0.45,0.38,0.32,0.28,0.23,0.18,0.14,0.11,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
