,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 Canada ,0.79,0.73,0.67,0.64,0.67,0.66,0.67,0.78,0.78,0.72,0.92,1.03,0.99,1.13,1.00,0.86,0.94,0.99,1.13,1.02,0.95,0.97,0.97
 US ,1.60,1.39,1.04,1.15,1.31,1.32,1.27,1.38,2.08,1.45,2.02,2.50,3.02,2.88,2.38,1.89,2.39,3.02,2.88,2.21,1.74,2.18,2.25
 Colombia ,0.87,0.97,0.92,1.23,1.28,1.50,1.61,1.73,1.98,1.63,1.78,2.02,2.25,2.05,2.27,2.19,2.48,2.25,2.05,2.08,1.82,1.69,1.59
 Europe ,0.04,0.08,0.10,0.53,0.26,0.12,0.08,0.14,0.25,0.23,0.12,0.16,0.20,0.68,0.13,0.10,0.19,0.20,0.68,0.24,0.22,0.25,0.16
 Russia ,1.12,1.29,1.32,1.73,2.14,2.37,2.43,2.84,2.36,2.45,2.50,2.86,3.23,3.55,3.78,4.11,5.09,3.23,3.55,5.79,5.67,6.09,5.36
 Other CIS ,0.50,0.57,0.44,0.52,0.46,0.46,0.55,0.50,0.65,0.50,0.35,0.58,0.50,0.51,0.51,0.48,0.51,0.50,0.51,0.55,0.60,0.60,0.64
 South Africa ,1.77,1.73,1.75,1.79,1.53,1.80,1.75,1.90,1.76,1.93,1.98,2.04,2.22,2.10,2.18,2.30,2.71,2.22,2.10,1.42,1.76,1.69,1.75
 Other Africa ,0.03,0.02,0.02,0.07,0.03,0.03,0.03,0.06,0.03,0.03,0.11,0.04,0.13,0.11,0.18,0.26,0.66,0.13,0.11,0.28,0.28,0.32,0.40
 Australia ,4.75,4.93,5.20,5.41,5.22,5.97,6.02,6.37,6.54,6.99,7.46,7.04,7.96,9.19,9.12,9.95,9.70,7.96,9.19,9.63,9.35,9.65,8.39
 China ,1.89,2.45,2.72,2.79,2.09,2.18,2.00,1.81,1.57,0.59,0.59,0.44,0.28,0.28,0.36,0.45,0.42,0.28,0.28,0.34,0.18,0.28,0.32
 Indonesia ,2.30,1.71,2.04,2.13,2.75,3.25,4.00,4.50,4.62,5.07,6.20,7.18,8.16,8.57,8.42,7.48,8.08,8.16,8.57,8.50,8.79,9.00,9.19
 Mongolia ,^,^,^,0.01,0.04,0.07,0.07,0.09,0.12,0.17,0.48,0.58,0.63,0.49,0.53,0.41,0.95,0.63,0.49,1.04,0.83,0.49,0.87
 Other Asia Pacific ,0.12,0.14,0.20,0.25,0.35,0.48,0.70,0.86,0.66,0.82,0.76,1.01,0.90,0.92,0.77,0.65,0.32,0.90,0.92,0.60,0.34,0.37,0.44
 Rest of World ,0.32,0.33,0.31,0.50,0.32,0.29,0.28,0.30,0.21,0.15,0.13,0.16,0.15,0.19,0.14,0.14,0.06,0.15,0.19,0.07,0.06,0.08,0.15
