"Date","Price","Open","High","Low","Vol.","Change %"
"16/11/2023","1,336.00","1,336.00","1,336.00","1,336.00","","-0.07%"
"15/11/2023","1,337.00","1,337.00","1,337.00","1,337.00","","-0.59%"
"14/11/2023","1,345.00","1,345.00","1,345.00","1,345.00","","-2.04%"
"13/11/2023","1,373.00","1,373.00","1,373.00","1,373.00","","-1.36%"
"10/11/2023","1,392.00","1,392.00","1,392.00","1,392.00","","-0.85%"
"09/11/2023","1,404.00","1,404.00","1,404.00","1,404.00","","-1.40%"
"08/11/2023","1,424.00","1,424.00","1,424.00","1,424.00","","-0.63%"
"07/11/2023","1,433.00","1,433.00","1,433.00","1,433.00","","-0.97%"
"06/11/2023","1,447.00","1,447.00","1,447.00","1,447.00","","-1.23%"
"03/11/2023","1,465.00","1,465.00","1,465.00","1,465.00","","0.21%"
"02/11/2023","1,462.00","1,462.00","1,462.00","1,462.00","","-1.68%"
"01/11/2023","1,487.00","1,487.00","1,487.00","1,487.00","","0.27%"
"31/10/2023","1,483.00","1,483.00","1,483.00","1,483.00","","2.06%"
"30/10/2023","1,453.00","1,453.00","1,453.00","1,453.00","","2.76%"
"27/10/2023","1,414.00","1,414.00","1,414.00","1,414.00","","3.06%"
"26/10/2023","1,372.00","1,372.00","1,372.00","1,372.00","","1.78%"
"25/10/2023","1,348.00","1,348.00","1,348.00","1,348.00","","1.28%"
"24/10/2023","1,331.00","1,331.00","1,331.00","1,331.00","","1.14%"
"23/10/2023","1,316.00","1,316.00","1,316.00","1,316.00","","2.33%"
"20/10/2023","1,286.00","1,286.00","1,286.00","1,286.00","","0.94%"
"19/10/2023","1,274.00","1,274.00","1,274.00","1,274.00","","0.16%"
"18/10/2023","1,272.00","1,272.00","1,272.00","1,272.00","","2.25%"
"17/10/2023","1,244.00","1,244.00","1,244.00","1,244.00","","1.88%"
"16/10/2023","1,221.00","1,221.00","1,221.00","1,221.00","","6.27%"
"13/10/2023","1,149.00","1,149.00","1,149.00","1,149.00","","9.01%"
"12/10/2023","1,054.00","1,054.00","1,054.00","1,054.00","","10.37%"
"11/10/2023","955.00","955.00","955.00","955.00","","4.83%"
"10/10/2023","911.00","911.00","911.00","911.00","","3.41%"
"09/10/2023","881.00","881.00","881.00","881.00","","1.15%"
"06/10/2023","871.00","871.00","871.00","871.00","","1.99%"
"05/10/2023","854.00","854.00","854.00","854.00","","0.95%"
"04/10/2023","846.00","846.00","846.00","846.00","","0.48%"
"03/10/2023","842.00","842.00","842.00","842.00","","0.36%"
"02/10/2023","839.00","839.00","839.00","839.00","","1.45%"
"29/09/2023","827.00","827.00","827.00","827.00","","0.73%"
"28/09/2023","821.00","821.00","821.00","821.00","","0.86%"
"27/09/2023","814.00","814.00","814.00","814.00","","0.49%"
"26/09/2023","810.00","810.00","810.00","810.00","","1.38%"
"25/09/2023","799.00","799.00","799.00","799.00","","1.14%"
"22/09/2023","790.00","790.00","790.00","790.00","","1.80%"
"21/09/2023","776.00","776.00","776.00","776.00","","1.04%"
"20/09/2023","768.00","768.00","768.00","768.00","","2.54%"
"19/09/2023","749.00","749.00","749.00","749.00","","0.94%"
"18/09/2023","742.00","742.00","742.00","742.00","","0.27%"
"15/09/2023","740.00","740.00","740.00","740.00","","0.95%"
"14/09/2023","733.00","733.00","733.00","733.00","","1.52%"
"13/09/2023","722.00","722.00","722.00","722.00","","0.84%"
"12/09/2023","716.00","716.00","716.00","716.00","","0.28%"
"11/09/2023","714.00","714.00","714.00","714.00","","0.14%"
"08/09/2023","713.00","713.00","713.00","713.00","","-0.28%"
"07/09/2023","715.00","715.00","715.00","715.00","","-1.38%"
"06/09/2023","725.00","725.00","725.00","725.00","","-0.41%"
"05/09/2023","728.00","728.00","728.00","728.00","","-0.55%"
"04/09/2023","732.00","732.00","732.00","732.00","","-1.08%"
"01/09/2023","740.00","740.00","740.00","740.00","","-1.60%"
"31/08/2023","752.00","752.00","752.00","752.00","","-1.57%"
"30/08/2023","764.00","764.00","764.00","764.00","","-1.55%"
"29/08/2023","776.00","776.00","776.00","776.00","","-2.14%"
"25/08/2023","793.00","793.00","793.00","793.00","","-0.50%"
"24/08/2023","797.00","797.00","797.00","797.00","","-0.62%"
"23/08/2023","802.00","802.00","802.00","802.00","","-0.25%"
"22/08/2023","804.00","804.00","804.00","804.00","","0.25%"
"21/08/2023","802.00","802.00","802.00","802.00","","-0.12%"
"18/08/2023","803.00","803.00","803.00","803.00","","-0.74%"
"17/08/2023","809.00","809.00","809.00","809.00","","0.37%"
"16/08/2023","806.00","806.00","806.00","806.00","","1.00%"
"15/08/2023","798.00","798.00","798.00","798.00","","-0.37%"
"14/08/2023","801.00","801.00","801.00","801.00","","-0.12%"
"11/08/2023","802.00","802.00","802.00","802.00","","0.38%"
"10/08/2023","799.00","799.00","799.00","799.00","","0.00%"
"09/08/2023","799.00","799.00","799.00","799.00","","-0.13%"
"08/08/2023","800.00","800.00","800.00","800.00","","0.25%"
"07/08/2023","798.00","798.00","798.00","798.00","","-0.25%"
"04/08/2023","800.00","800.00","800.00","800.00","","-1.23%"
"03/08/2023","810.00","810.00","810.00","810.00","","-1.34%"
"02/08/2023","821.00","821.00","821.00","821.00","","-2.26%"
"01/08/2023","840.00","840.00","840.00","840.00","","-1.29%"
"31/07/2023","851.00","851.00","851.00","851.00","","-2.52%"
"28/07/2023","873.00","873.00","873.00","873.00","","-0.91%"
"27/07/2023","881.00","881.00","881.00","881.00","","-2.00%"
"26/07/2023","899.00","899.00","899.00","899.00","","-1.21%"
"25/07/2023","910.00","910.00","910.00","910.00","","-2.05%"
"24/07/2023","929.00","929.00","929.00","929.00","","-1.17%"
"21/07/2023","940.00","940.00","940.00","940.00","","-0.74%"
"20/07/2023","947.00","947.00","947.00","947.00","","-1.56%"
"19/07/2023","962.00","962.00","962.00","962.00","","-1.33%"
"18/07/2023","975.00","975.00","975.00","975.00","","0.52%"
"17/07/2023","970.00","970.00","970.00","970.00","","1.15%"
"14/07/2023","959.00","959.00","959.00","959.00","","3.23%"
"13/07/2023","929.00","929.00","929.00","929.00","","0.87%"
"12/07/2023","921.00","921.00","921.00","921.00","","-0.22%"
"11/07/2023","923.00","923.00","923.00","923.00","","-0.22%"
"10/07/2023","925.00","925.00","925.00","925.00","","-0.96%"
"07/07/2023","934.00","934.00","934.00","934.00","","-1.16%"
"06/07/2023","945.00","945.00","945.00","945.00","","-2.98%"
"05/07/2023","974.00","974.00","974.00","974.00","","-1.42%"
"04/07/2023","988.00","988.00","988.00","988.00","","-1.50%"
"03/07/2023","1,003.00","1,003.00","1,003.00","1,003.00","","-1.08%"
"30/06/2023","1,014.00","1,014.00","1,014.00","1,014.00","","0.60%"
"29/06/2023","1,008.00","1,008.00","1,008.00","1,008.00","","-0.88%"
"28/06/2023","1,017.00","1,017.00","1,017.00","1,017.00","","-2.77%"
"27/06/2023","1,046.00","1,046.00","1,046.00","1,046.00","","-1.13%"
"26/06/2023","1,058.00","1,058.00","1,058.00","1,058.00","","-1.12%"
"23/06/2023","1,070.00","1,070.00","1,070.00","1,070.00","","-2.99%"
