Date,Developed countries,Developing countries
 Jan 2016,3.74,7.72
 Feb 2016,3.14,8.13
 Mar 2016,3,8.46
 Apr 2016,2.93,7.81
 May 2016,3.41,7.81
 Jun 2016,2.94,7.77
 Jul 2016,3.33,7.11
 Aug 2016,3.16,6.55
 Sep 2016,3.25,6.94
 Oct 2016,3.52,6.89
 Nov 2016,3.47,7.01
 Dec 2016,3.92,7.14
 Jan 2017,4.51,7.85
 Feb 2017,3.4,7.78
 Mar 2017,3.01,7.1
 Apr 2017,3.74,8.39
 May 2017,3.18,7.79
 Jun 2017,3.25,7.21
 Jul 2017,3.46,7.37
 Aug 2017,3.24,7.26
 Sep 2017,3.4,7.25
 Oct 2017,3.09,7.8
 Nov 2017,2.92,7.92
 Dec 2017,3.64,7.65
 Jan 2018,4.41,8.19
 Feb 2018,3.55,7.71
 Mar 2018,3.63,8.91
 Apr 2018,3.13,9.36
 May 2018,3.28,8.14
 Jun 2018,2.98,8.04
 Jul 2018,3.24,7.33
 Aug 2018,3.46,8.79
 Sep 2018,3.45,8.07
 Oct 2018,3.63,6.97
 Nov 2018,3.11,6.84
 Dec 2018,3.53,7.24
 Jan 2019,4.33,7.07
 Feb 2019,4.21,7.46
 Mar 2019,3.76,7.36
 Apr 2019,3.34,7.27
 May 2019,3.27,7.44
 Jun 2019,3.26,7.17
 Jul 2019,3.18,6.94
 Aug 2019,3.41,7.72
 Sep 2019,3.41,7.09
 Oct 2019,3.37,7.44
 Nov 2019,3.12,6.82
 Dec 2019,3.4,7.49
 Jan 2020,3.9,8.25
 Feb 2020,3.92,9.99
 Mar 2020,3.83,9.63
 Apr 2020,3.58,8.87
 May 2020,3.86,9.52
 Jun 2020,3.7,9.9
 Jul 2020,3.78,8.98
 Aug 2020,3.63,8.83
 Sep 2020,3.85,8.62
 Oct 2020,4.1,7.97
 Nov 2020,4.3,8.35
 Dec 2020,5.11,8.89
 Jan 2021,6.33,10.42
 Feb 2021,6.26,9.13
 Mar 2021,6.25,8.89
 Apr 2021,5.26,9.58
 May 2021,5.65,9.79
 Jun 2021,5.38,11.13
 Jul 2021,6.25,10.97
 Aug 2021,7.23,12.59
 Sep 2021,8.49,11.72
 Oct 2021,8.74,10.91
 Nov 2021,9.78,10.45
 Dec 2021,9.54,9.42
 Jan 2022,9.68,9.43
 Feb 2022,9.24,8.91
 Mar 2022,8.81,10.52
 Apr 2022,7.89,11.12
 May 2022,7.27,11.11
 Jun 2022,7.19,11.04
 Jul 2022,8.79,9.24
 Aug 2022,8.63,8.17
 Sep 2022,8.43,8.65
 Oct 2022,7.52,7.73
 Nov 2022,6.52,8.74
 Dec 2022,6.37,8.83
 Jan 2023,5.86,9.61
 Feb 2023,4.5,8.66
 Mar 2023,3.95,8.89
 Apr 2023,4.27,8.71
 May 2023,3.91,8.27
 Jun 2023,4.12,8.04
 Jul 2023,4.46,8.11
